City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Celestun,MX,2020-05-25 02:01:24,20.87,-90.4,80.58,78,0,14.38
284,Burns Lake,CA,2020-05-25 01:59:29,54.23,-125.75,56.34,47,100,10.56
285,Havelock,US,2020-05-25 02:01:24,34.88,-76.9,68.0,91,99,7.0
286,Viedma,AR,2020-05-25 01:59:12,-40.81,-63.0,57.13,66,2,25.32
287,Coruripe,BR,2020-05-25 02:01:24,-10.13,-36.18,77.16,87,6,6.67
288,Mayo,US,2020-05-25 02:01:25,38.89,-76.51,64.0,82,90,9.62
289,San Carlos De Bariloche,AR,2020-05-25 01:57:27,-41.15,-71.31,48.2,70,39,9.17
290,Kroya,ID,2020-05-25 02:01:25,-7.63,109.25,86.94,67,8,1.88
291,Nova Borova,UA,2020-05-25 02:01:25,50.69,28.63,45.84,83,100,1.92
292,Fairlie,GB,2020-05-25 02:01:25,55.76,-4.86,44.01,100,33,3.36
293,Camacha,PT,2020-05-25 02:01:25,33.08,-16.33,68.0,52,94,5.82
294,Gat,IL,2020-05-25 02:01:25,31.61,34.76,62.01,79,8,6.55
295,Clyde River,CA,2020-05-25 02:01:25,70.47,-68.59,19.4,92,40,9.17
296,Mareeba,AU,2020-05-25 02:01:28,-17.0,145.43,73.99,53,0,9.17
297,Gulmarg,IN,2020-05-25 02:01:28,34.05,74.39,55.09,61,0,3.42
298,Karak,JO,2020-05-25 02:01:45,31.17,35.75,50.0,87,20,11.41
299,Vanimo,PG,2020-05-25 02:01:46,-2.67,141.3,87.4,65,75,2.59
300,Udachnyy,RU,2020-05-25 02:01:46,66.42,112.4,78.8,19,75,6.71
301,Padang,ID,2020-05-25 02:01:46,-0.95,100.35,86.0,59,53,0.98
302,Port Lincoln,AU,2020-05-25 02:01:46,-34.73,135.87,55.56,67,82,13.04
